id,year,question,title,source_filename,source_pdf,markdown_file,file_size,sha256,conversion_status,conversion_tool,notes,original_path
A22100070190,2022,A,,A22100070190.pdf,papers/2022/A/A22100070190.pdf,knowledge_base/2022/A/A22100070190.md,2271011,7ee8303a43bd802a178daa540554f03c4169b693ac371e7f2eba64bac01042ea,success,Microsoft MarkItDown 0.1.7,,2022年研究生数学建模优秀论文选/A22100070190.pdf
A22100130054,2022,A,,A22100130054.pdf,papers/2022/A/A22100130054.pdf,knowledge_base/2022/A/A22100130054.md,1458046,4b5ed27254931d2b43be0f533ad37d4895f73f0104a08ce9981c2e7a166ce8ad,success,Microsoft MarkItDown 0.1.7,,2022年研究生数学建模优秀论文选/A22100130054.pdf
A22102460007,2022,A,,A22102460007.pdf,papers/2022/A/A22102460007.pdf,knowledge_base/2022/A/A22102460007.md,5244338,42f2ea4ef1edf9b15be942d0b0dded538286f060abceb998612660d082e78882,success,Microsoft MarkItDown 0.1.7,,2022年研究生数学建模优秀论文选/A22102460007.pdf
A22103040090,2022,A,,A22103040090.pdf,papers/2022/A/A22103040090.pdf,knowledge_base/2022/A/A22103040090.md,10392119,6b58b5bed888ba0117efc2ab35d4b79cb8a7f6f82270bf908ba4b8f2e60ccf53,success,Microsoft MarkItDown 0.1.7,,2022年研究生数学建模优秀论文选/A22103040090.pdf
A22104860055,2022,A,,A22104860055.pdf,papers/2022/A/A22104860055.pdf,knowledge_base/2022/A/A22104860055.md,2550503,193333ef5b3599687995c7c1bebbde23e09298ec3b8f5c981b7e760f352bfe0a,success,Microsoft MarkItDown 0.1.7,,2022年研究生数学建模优秀论文选/A22104860055.pdf
A22107010047,2022,A,,A22107010047.pdf,papers/2022/A/A22107010047.pdf,knowledge_base/2022/A/A22107010047.md,3171608,70e064a803fa9bf8bbb70dc789c794f21c4d33405a65cdabefe8a2e0fb6f7114,success,Microsoft MarkItDown 0.1.7,,2022年研究生数学建模优秀论文选/A22107010047.pdf
A22116460175,2022,A,,A22116460175.pdf,papers/2022/A/A22116460175.pdf,knowledge_base/2022/A/A22116460175.md,1181456,4704bf03e2b2dd6ff5afc593c9940564d075b64079b92468f779b877f71be783,success,Microsoft MarkItDown 0.1.7,,2022年研究生数学建模优秀论文选/A22116460175.pdf
B22100070171,2022,B,,B22100070171.pdf,papers/2022/B/B22100070171.pdf,knowledge_base/2022/B/B22100070171.md,6873926,6f83d846eedd7e8ab145fe3b7ce5657e112f525e87584c5dba20a9086c09a555,success,Microsoft MarkItDown 0.1.7,,2022年研究生数学建模优秀论文选/B22100070171.pdf
B22102860210,2022,B,,B22102860210.pdf,papers/2022/B/B22102860210.pdf,knowledge_base/2022/B/B22102860210.md,16502595,d6169464f185c06f376bcd4697c8c3e67ea305e744970090b74ba1f2cc4e7025,success,Microsoft MarkItDown 0.1.7,,2022年研究生数学建模优秀论文选/B22102860210.pdf
B22103360018,2022,B,,B22103360018.pdf,papers/2022/B/B22103360018.pdf,knowledge_base/2022/B/B22103360018.md,2584063,c5c2f5c81d406896ae932a32b4211f7e0ca7bb4e44b78d92a77b5f23ba3a87a4,success,Microsoft MarkItDown 0.1.7,,2022年研究生数学建模优秀论文选/B22103360018.pdf
